 ,2025 01,2025 02,2025 03,2025 04,2025 05,2025 06,2025 07,2025 08,2025 09,2025 10,2025 11,2025 12
,,,,,,,,,,,,
Bluesky,,,,,,,,,,,,
followers,,287,318,377,396,409,422,437,444,461,490,510
,,,,,,,,,,,,
Substack,,,,,,,,,,,,
total followers,,8,13,27,30,32,33,40,43,45,50,54
total views,,251,661,959,1109,2080,3911,5755,6790,8050,"9,880","10,700"
monthly reads,,96,264,365,591,334,537,618,593,712,699,823
,,,,,,,,,,,,
,2026 01,2026 02,2026 03,2026 04,,,,,,,,
,,,,,,,,,,,,
Bluesky,,,,,,,,,,,,
followers,514,530,538,551,,,,,,,,
,,,,,,,,,,,,
Substack,,,,,,,,,,,,
total followers,58,59,57,57,,,,,,,,
total views,"12,100","13,100","13,800","14,400",,,,,,,,
monthly reads,891,521,473,389,,,,,,,,
,,,,,,,,,,,,
Bitly,,,,,,,,,,,,
total clicks,536,283,303,1396,,,,,,,,